demand_mw,solar_mw,gas_mw,load_shedding_mw,solar_cf,timestamp,month,day,hour,date,period,served_by_solar_gas_mw,unserved_share_of_demand
34968.738559,802.5867305980713,15873.654411947797,18292.497416454127,0.0009936338112788,2025-08-28 20:00:00,8,28,20,2025-08-28,evening_peak_16_20,16676.241142545867,0.5231100168394875
33923.006398,-0.0,15873.654411947797,18049.3519860522,0.0,2025-08-28 21:00:00,8,28,21,2025-08-28,late_evening_21_23,15873.654411947797,0.5320681715025216
31617.8416039999,-0.0,15873.654411947797,15744.187192052103,0.0,2025-08-28 22:00:00,8,28,22,2025-08-28,late_evening_21_23,15873.654411947797,0.4979526240039213
29258.813474,-0.0,15873.654411947797,13385.159062052202,0.0,2025-08-28 23:00:00,8,28,23,2025-08-28,late_evening_21_23,15873.654411947797,0.45747443155706013
27936.818306,-0.0,15873.654411947797,12063.163894052204,0.0,2025-08-29 00:00:00,8,29,0,2025-08-29,night_00_05,15873.654411947797,0.43180163760672036
26739.830863,-0.0,15873.654411947797,10866.176451052203,0.0,2025-08-29 01:00:00,8,29,1,2025-08-29,night_00_05,15873.654411947797,0.406366685964636
25803.652756,-0.0,15873.654411947797,9929.998344052203,0.0,2025-08-29 02:00:00,8,29,2,2025-08-29,night_00_05,15873.654411947797,0.38482917275125816
25553.133403,-0.0,15873.654411947797,9679.478991052203,0.0,2025-08-29 03:00:00,8,29,3,2025-08-29,night_00_05,15873.654411947797,0.3787981238307083
25159.671723,-0.0,15873.654411947797,9286.017311052203,0.0,2025-08-29 04:00:00,8,29,4,2025-08-29,night_00_05,15873.654411947797,0.3690834051130836
25575.009726,-0.0,15873.654411947797,9701.355314052204,0.0,2025-08-29 05:00:00,8,29,5,2025-08-29,night_00_05,15873.654411947797,0.3793294867915392
36910.534973,9820.79964534247,15873.654411947797,11216.080915709734,0.0121585346597189,2025-08-29 19:00:00,8,29,19,2025-08-29,evening_peak_16_20,25694.454057290266,0.3038720767367441
35705.940585,158.6508653507327,15873.654411947797,19673.635307701465,0.0001964159859504,2025-08-29 20:00:00,8,29,20,2025-08-29,evening_peak_16_20,16032.30527729853,0.5509905350586486
34266.21437,-0.0,15873.654411947797,18392.559958052203,0.0,2025-08-29 21:00:00,8,29,21,2025-08-29,late_evening_21_23,15873.654411947797,0.5367549434977811
